num,label,duration,peak freq(max),min_freq(max),max_freq(max),entropy_(max),peak freq(mean),min_freq(mean) ,max_freq(mean) ,entropy_(mean),call,call_type,Filename
50,50,0.2355,17500,12300,20500,0.54,21600,6400,76700,0.659,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
51,51,0.218,17500,8700,21000,0.494,20500,6400,76700,0.644,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
52,52,0.2086,19900,7600,28700,0.559,19900,5800,76700,0.693,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
53,53,0.2517,20500,18700,22800,0.505,21000,4600,67300,0.66,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
54,54,0.3699,18700,9900,21000,0.456,19300,6400,74400,0.643,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
55,55,0.3985,16900,15200,22800,0.371,19900,7000,73200,0.615,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
56,56,0.2752,14600,10500,21000,0.384,18700,7000,67300,0.607,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
57,57,0.1634,19300,10500,23400,0.433,18700,7600,46200,0.574,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
58,58,0.1143,18100,9900,22800,0.402,18700,7600,57400,0.581,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
59,59,0.2636,18700,16400,22200,0.44,19300,7600,66700,0.573,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
60,60,0.2112,17500,15800,20500,0.342,18700,8200,62600,0.574,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
61,61,0.2743,18700,12300,21000,0.425,17500,7000,67900,0.594,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
62,62,0.203,15800,13400,19900,0.395,16400,6400,67900,0.624,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
63,63,0.0388,12800,8700,24600,0.374,12300,4100,29800,0.561,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
64,64,0.2978,18700,12300,21000,0.441,18100,6400,74400,0.61,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
65,65,0.0371,15800,13400,18700,0.507,16900,6400,66700,0.618,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
66,66,0.0708,15200,8200,23400,0.479,14600,7600,57400,0.571,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
67,67,0.0106,14600,12300,19900,0.361,14600,9300,21000,0.486,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
68,68,0.0106,15800,13400,18700,0.251,15800,9300,24000,0.39,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
69,69,0.2218,16400,14600,18700,0.184,15800,7000,65600,0.57,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_12-51-34_0000103.wav
1,1,0.6792,16400,14000,18700,0.362,15800,8200,65600,0.569,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_13-21-16_0000106.wav
2,2,0.5708,15200,13400,17500,0.324,15800,6400,66700,0.614,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_13-21-16_0000106.wav
3,3,0.3746,17500,16400,19900,0.374,16900,7000,66700,0.615,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-24_13-21-16_0000106.wav
1,1,1.1238,16400,14600,19900,0.368,16900,8700,67300,0.603,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
2,2,1.9059,16400,14000,19300,0.316,16400,9300,65600,0.553,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
3,3,0.8166,45100,43300,48600,0.239,16400,7000,69700,0.641,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
4,4,0.25,56200,52100,66700,0.382,18100,7000,77300,0.663,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
5,5,0.4868,21000,18700,23400,0.348,20500,7000,48600,0.545,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
6,6,0.2124,15800,13400,22800,0.402,16900,6400,67900,0.576,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
7,7,0.2214,16900,8700,22200,0.423,16900,6400,67900,0.586,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
8,8,0.8891,15800,14000,18100,0.381,16900,6400,76100,0.649,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
9,9,0.4855,18100,15800,20500,0.334,16900,7000,69100,0.591,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
10,10,0.282,10500,8700,18100,0.325,13400,5800,77300,0.644,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
11,11,0.2837,16900,14000,19300,0.397,15800,6400,64400,0.54,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
12,12,0.2163,16400,9300,23400,0.395,16400,6400,57400,0.528,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
13,13,0.5777,17500,8200,20500,0.423,13400,6400,66700,0.618,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
14,14,0.3067,15800,9300,19300,0.411,15800,7600,58500,0.521,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
15,15,0.3114,12300,10500,15200,0.321,15800,7600,57400,0.544,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
16,16,0.0443,14600,9300,21600,0.41,17500,7000,39200,0.521,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
17,17,0.5969,16400,10500,22800,0.392,16400,7600,58500,0.558,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
18,18,0.0486,18700,16900,21000,0.277,18700,8200,58500,0.55,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
19,19,0.1898,15800,8700,20500,0.404,16400,7600,59100,0.551,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
20,20,0.0938,33300,31000,36300,0.33,14600,8200,59100,0.541,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
21,21,0.3891,21600,18700,24000,0.436,18100,7600,48600,0.563,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
22,22,0.2508,18100,13400,21600,0.351,18100,7600,36900,0.485,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
23,23,0.1484,15800,11700,17500,0.323,14600,7000,39800,0.496,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
24,24,0.0558,15800,10500,18100,0.434,16900,5800,65600,0.6,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
25,25,0.1344,18100,15800,21000,0.382,17500,6400,66700,0.594,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
26,26,0.1305,16900,7600,19900,0.447,13400,2900,48000,0.605,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
27,27,0.2517,17500,14000,20500,0.309,18100,7600,44500,0.476,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
28,28,0.224,17500,14600,21000,0.317,18100,6400,67300,0.586,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
29,29,0.1211,11100,9300,13400,0.368,17500,6400,68500,0.693,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
30,30,0.0328,18100,14600,21600,0.472,17500,6400,22200,0.592,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
31,31,0.0277,18100,15200,21600,0.512,17500,500,42100,0.701,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
32,32,0.32,19300,16400,23400,0.428,19900,7000,70300,0.64,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
33,33,0.2282,20500,18700,28100,0.525,20500,6400,75500,0.682,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
34,34,0.011,21000,6400,34500,0.593,20500,6400,75500,0.682,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
35,35,0.0025,21600,16400,29200,0.538,21600,16400,42100,0.576,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
36,36,0.0213,22200,19900,25100,0.492,21600,6400,44500,0.609,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
37,37,0.0021,21000,14000,27500,0.593,21000,7600,65600,0.645,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
38,38,0.2581,16400,14600,22800,0.495,21600,6400,76100,0.667,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
39,39,0.1706,21000,16900,24600,0.433,21000,6400,76100,0.662,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
40,40,0.046,10500,8700,13400,0.444,18100,6400,53900,0.665,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
41,41,0.2056,17500,15200,19900,0.365,18100,6400,75500,0.665,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
42,42,0.0503,16900,11700,19900,0.51,16900,6400,70800,0.631,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
43,43,0.0883,16400,9900,19900,0.414,18100,3500,67300,0.609,2,Agression,C:\Users\gchav\OneDrive\Escritorio\Selecciones_comp\T2021-09-25_13-25-10_0000110.wav
